Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
VA178C01716,408:36:00,81,25:47:00,5.1,12/12/2013 13:36,,
VA421601,293:35:00,8,18:31,0.5,12/9/2013 16:24,,
VA421602,4:07,3,0:16,0.2,11/18/2013 20:26,,
VA421603,1:58,2,0:07,0.1,9/3/2013 19:31,,
VA421604,8:39,11,0:33,0.7,12/10/2013 12:51,,
VA421605,35:31:00,24,2:14,1.5,12/2/2013 18:43,,
VA421606,16:52,12,1:04,0.8,11/14/2013 15:45,,
VA421607,14:10,23,0:54,1.5,12/6/2013 20:22,,
VA421608,235:21:00,48,14:51,3,12/12/2013 22:11,,
VA421609,169:06:00,69,10:40,4.4,12/12/2013 16:00,,
VA421610,23:20,19,1:28,1.2,11/22/2013 12:07,,
VA421611,21:08,28,1:20,1.8,12/2/2013 17:30,,
VA421612,157:15:00,18,9:55,1.1,12/7/2013 15:39,,
VA421613,60:10:00,67,3:48,4.2,12/12/2013 11:58,,
VA421614,328:31:00,262,20:43,16.5,12/12/2013 14:01,,
VA421615,282:21:00,145,17:49,9.1,12/12/2013 23:59,,
VA421616,101:04:00,112,6:23,7.1,12/12/2013 17:58,,
WPH20701,903:56:00,237,57:01:00,15,12/12/2013 19:22,,
WPH20702,670:09:00,150,42:16:00,9.5,12/12/2013 13:49,,
WPH20703,129:39:00,98,8:11,6.2,12/12/2013 15:36,,
WPH20704,113:33:00,100,7:10,6.3,12/12/2013 17:48,,
WPH20705,236:10:00,59,14:54,3.7,12/12/2013 17:47,,
WPH20706,123:10:00,96,7:46,6.1,12/12/2013 19:06,,
WPH20707,51:02:00,38,3:13,2.4,12/12/2013 14:04,,
WPH20708,93:17:00,111,5:53,7,12/12/2013 18:48,,
WPH20709,87:05:00,72,5:30,4.5,12/12/2013 18:40,,
WPH20710,154:35:00,116,9:45,7.3,12/12/2013 19:02,,
WPH20711,100:36:00,96,6:21,6.1,12/12/2013 18:51,,
WPH20712,435:54:00,119,27:30:00,7.5,12/12/2013 16:14,,
WPH20713,43:35:00,35,2:45,2.2,12/11/2013 13:51,,
WPH20714,98:10:00,88,6:12,5.6,12/11/2013 17:40,,
WPH20715,101:15:00,98,6:23,6.2,12/11/2013 13:50,,
WPH20716,174:57:00,241,11:02,15.2,12/12/2013 13:55,,
WPH20717,625:51:00,223,39:29:00,14.1,12/12/2013 18:42,,
WPH20718,178:16:00,278,11:15,17.5,12/12/2013 13:55,,
WPH20719,175:48:00,441,11:05,27.8,12/12/2013 19:16,,
WPH20720,294:50:00,340,18:36,21.4,12/12/2013 19:16,,
WPH20721,154:36:00,193,9:45,12.2,12/11/2013 13:55,,
WPH20722,66:52:00,50,4:13,3.2,12/12/2013 19:31,,
WWH20301,259:44:00,268,16:23,16.9,12/12/2013 10:14,,
WWH20302,404:23:00,157,25:31:00,9.9,12/12/2013 14:53,,
WWH20303,294:26:00,182,18:34,11.5,12/11/2013 8:00,,
WWH20304,236:17:00,210,14:54,13.2,12/12/2013 19:47,,
WWH20305,539:23:00,198,34:02:00,12.5,12/11/2013 13:45,,
WWH20306,366:11:00,213,23:06,13.4,12/12/2013 17:12,,
WWH20307,248:40:00,89,15:41,5.6,12/10/2013 14:56,,
WWH20308,296:48:00,122,18:43,7.7,12/11/2013 8:49,,
WWH20309,179:01:00,128,11:18,8.1,12/12/2013 17:25,,
WWH20310,220:03:00,139,13:53,8.8,12/11/2013 8:50,,
WWH20311,466:42:00,89,29:26:00,5.6,12/10/2013 14:56,,
WWH20312,174:10:00,126,10:59,7.9,12/11/2013 8:43,,
WWH20313,218:31:00,141,13:47,8.9,12/11/2013 12:00,,
WWH20314,329:25:00,182,20:47,11.5,12/11/2013 8:20,,
WWH20315,294:04:00,134,18:33,8.5,12/10/2013 17:20,,
WWH20316,148:19:00,107,9:21,6.7,12/11/2013 13:26,,
WWH20317,350:26:00,134,22:06,8.5,12/11/2013 8:46,,
WWH20318,115:35:00,49,7:17,3.1,12/4/2013 20:39,,
WWH20319,220:47:00,131,13:56,8.3,12/12/2013 19:11,,
WWH20320,345:54:00,162,21:49,10.2,12/11/2013 8:33,,
WWH20321,319:53:00,146,20:11,9.2,12/12/2013 23:59,,
WWH20322,640:34:00,202,40:24:00,12.7,12/12/2013 23:59,,
WWH20323,211:52:00,132,13:22,8.3,12/9/2013 15:17,,
WWH20324,475:33:00,167,30:00:00,10.5,12/10/2013 12:33,,
WWH20325,259:41:00,190,16:23,12,12/12/2013 12:47,,
WWH20326,270:48:00,216,17:05,13.6,12/12/2013 23:59,,
WWH20327,54:24:00,47,3:26,3,12/10/2013 11:50,,
WWH20328,397:49:00,221,25:06:00,13.9,12/11/2013 20:31,,
WWH20601,491:25:00,138,31:00:00,8.7,12/10/2013 19:20,,
WWH20602,311:06:00,107,19:37,6.7,12/12/2013 23:59,,
WWH20603,607:45:00,84,38:20:00,5.3,12/10/2013 19:12,,
WWH20604,396:19:00,97,25:00:00,6.1,12/7/2013 13:51,,
WWH20605,372:15:00,87,23:29,5.5,12/10/2013 20:36,,
WWH20606,428:54:00,81,27:03:00,5.1,12/10/2013 20:15,,
WWH20607,209:20:00,75,13:12,4.7,12/10/2013 20:33,,
WWH20608,64:19:00,49,4:03,3.1,12/10/2013 8:06,,
WWH20609,108:18:00,60,6:50,3.8,12/10/2013 17:22,,
WWH20610,270:16:00,74,17:03,4.7,12/12/2013 23:59,,
WWH20611,13:13,15,0:50,0.9,11/13/2013 17:24,,
WWH20612,10:04,11,0:38,0.7,12/7/2013 16:18,,
WWH20613,34:59:00,22,2:12,1.4,12/3/2013 11:08,,
WWH20614,170:12:00,79,10:44,5,12/12/2013 12:27,,
WWH20615,435:44:00,79,27:29:00,5,12/12/2013 20:13,,
WWH20616,138:50:00,52,8:45,3.3,12/12/2013 10:31,,
WWH20617,383:31:00,63,24:12:00,4,12/12/2013 8:00,,
WWH20618,91:25:00,30,5:46,1.9,12/5/2013 11:36,,
WWH20619,485:21:00,60,30:37:00,3.8,12/12/2013 23:59,,
WWH20620,262:49:00,71,16:35,4.5,12/12/2013 10:42,,
WWH20621,720:32:00,88,45:27:00,5.6,12/12/2013 20:16,,
