Name1,Total Time,Total Count,Avg Time,Avg Count,Last Session,Count Details0,Count Details1
GIH11526,129:37:00,121,8:02,7.5,5/1/2014 13:33,,
GIH11527,109:50:00,104,6:48,6.4,5/1/2014 13:31,,
GIH11528,257:43:00,138,15:58,8.6,5/1/2014 11:54,,
GIH11529,337:05:00,100,20:53,6.2,5/1/2014 11:41,,
GIH11530,113:10:00,105,7:01,6.5,5/1/2014 12:06,,
HONORS01,655:32:00,698,40:37:00,43.3,5/8/2014 15:47,,
HONORS02,439:34:00,313,27:14:00,19.4,5/8/2014 15:02,,
HONORS03,300:10:00,247,18:36,15.3,5/7/2014 2:46,,
HONORS04,658:04:00,389,40:47:00,24.1,5/8/2014 7:44,,
HONORS05,301:48:00,224,18:42,13.9,5/8/2014 19:11,,
HONORS06,1481:03:00,290,91:46:00,18,5/8/2014 15:03,,
HONORS08,325:33:00,94,20:10,5.8,5/8/2014 23:59,,
HONORS09,62:54:00,114,3:54,7.1,5/8/2014 16:29,,
HONORS10,98:15:00,46,6:05,2.9,5/8/2014 16:01,,
HONORS11,62:53:00,59,3:54,3.7,5/8/2014 16:04,,
LIBMED01,117:11:00,55,7:16,3.4,5/8/2014 13:43,,
LIBMED02,312:47:00,199,19:23,12.3,5/8/2014 17:37,,
LIBMED03,287:00:00,89,17:47,5.5,5/8/2014 5:57,,
LIBMED04,259:27:00,23,16:05,1.4,5/6/2014 18:56,,
LIBMED05,372:47:00,94,23:06,5.8,5/8/2014 17:42,,
LIBMED06,103:18:00,23,6:24,1.4,5/5/2014 21:02,,
LIBSHL101,1363:12:00,116,84:28:00,7.2,5/7/2014 22:55,,
LIBSHL103,736:30:00,726,45:38:00,45,5/8/2014 13:24,,
LIBSHL104,1052:02:00,932,65:11:00,57.8,5/8/2014 18:47,,
LIBSHL105,1051:53:00,673,65:11:00,41.7,5/8/2014 19:32,,
LIBSHL106,1022:35:00,613,63:22:00,38,5/8/2014 15:44,,
LIBSHL107,1413:27:00,623,87:35:00,38.6,5/8/2014 17:03,,
LIBSHL108,825:18:00,605,51:08:00,37.5,5/8/2014 18:06,,
LIBSHL109,972:53:00,1399,60:17:00,86.7,5/8/2014 14:16,,
LIBSHL110,1208:03:00,1019,74:51:00,63.1,5/8/2014 19:43,,
LIBSHL111,1074:46:00,1662,66:36:00,103,5/8/2014 19:41,,
LIBSHL112,1053:50:00,1836,65:18:00,113.8,5/8/2014 18:20,,
LIBSHL113,1118:10:00,1936,69:17:00,120,5/8/2014 19:54,,
LIBSHL114,1162:38:00,1855,72:03:00,114.9,5/8/2014 17:24,,
LIBSHL115,1019:07:00,1772,63:09:00,109.8,5/8/2014 19:55,,
LIBSHL116,1377:36:00,2101,85:22:00,130.2,5/8/2014 19:56,,
LIBSHL117,952:46:00,1776,59:02:00,110,5/8/2014 19:24,,
LIBSHL118,946:10:00,1537,58:38:00,95.2,5/8/2014 17:24,,
LIBSHL119,1036:26:00,2031,64:13:00,125.9,5/8/2014 19:43,,
LIBSHL120,1178:07:00,1776,73:00:00,110,5/8/2014 15:58,,
LIBSHL121,1100:47:00,1609,68:13:00,99.7,5/8/2014 23:59,,
LIBSHL122,1052:13:00,1666,65:12:00,103.2,5/8/2014 19:48,,
LIBSHL123,1111:02:00,1557,68:51:00,96.5,5/8/2014 17:36,,
LIBSHL124,1020:38:00,1727,63:15:00,107,5/8/2014 19:18,,
LIBSHL125,1066:56:00,1371,66:07:00,85,5/8/2014 19:40,,
LIBSHL126,907:13:00,1169,56:13:00,72.4,5/2/2014 14:04,,
LIBSHL201,959:44:00,750,59:28:00,46.5,4/17/2014 12:50,,
LIBSHL202,801:39:00,1162,49:40:00,72,5/8/2014 12:34,,
LIBSHL203,690:26:00,846,42:47:00,52.4,5/8/2014 12:07,,
LIBSHL204,768:53:00,1009,47:39:00,62.5,5/8/2014 16:18,,
LIBSHL205,1051:57:00,1277,65:11:00,79.1,5/8/2014 19:48,,
LIBSHL206,861:47:00,1033,53:24:00,64,5/8/2014 17:27,,
LIBSHL207,359:07:00,1040,22:15,64.4,5/8/2014 19:21,,
LIBSHL208,415:46:00,812,25:46:00,50.3,5/8/2014 12:54,,
LIBSHL209,819:39:00,855,50:47:00,53,5/8/2014 12:58,,
LIBSHL210,775:25:00,867,48:03:00,53.7,5/8/2014 16:51,,
LIBSHL211,1690:40:00,801,104:46:00,49.6,5/8/2014 16:13,,
LIBSHL212,1142:00:00,786,70:46:00,48.7,5/8/2014 19:34,,
LIBSHL301,1239:43:00,507,76:49:00,31.4,5/8/2014 14:40,,
LIBSHL302,862:03:00,502,53:25:00,31.1,5/8/2014 13:00,,
LIBSHL303,577:04:00,466,35:46:00,28.9,5/8/2014 12:45,,
LIBSHL304,508:41:00,702,31:31:00,43.5,5/8/2014 9:56,,
LIBSHL305,518:29:00,565,32:08:00,35,5/7/2014 21:10,,
LIBSHL306,1232:30:00,604,76:22:00,37.4,5/8/2014 16:19,,
LIBSHL307,636:17:00,1001,39:26:00,62,5/8/2014 17:51,,
LIBSHL308,886:45:00,654,54:57:00,40.5,5/8/2014 13:54,,
SWH31801,149:00:00,44,9:14,2.7,4/28/2014 11:19,,
SWH31802,553:34:00,602,34:18:00,37.3,5/8/2014 15:55,,
SWH31803,427:31:00,284,26:29:00,17.6,5/8/2014 13:05,,
SWH31804,519:13:00,187,32:10:00,11.6,5/8/2014 17:01,,
SWH31805,218:22:00,232,13:32,14.4,5/8/2014 15:51,,
SWH31806,504:36:00,388,31:16:00,24,5/8/2014 12:53,,
SWH31807,348:16:00,274,21:35,17,5/8/2014 12:59,,
SWH31808,272:16:00,262,16:52,16.2,5/7/2014 9:22,,
SWH31809,437:26:00,289,27:06:00,17.9,5/7/2014 10:00,,
SWH31810,471:22:00,401,29:12:00,24.8,5/8/2014 9:18,,
SWH31811,266:51:00,238,16:32,14.7,5/8/2014 23:59,,
SWH31812,252:05:00,215,15:37,13.3,5/8/2014 10:39,,
SWH31813,565:57:00,217,35:04:00,13.4,5/8/2014 12:35,,
SWH31814,245:16:00,205,15:12,12.7,5/8/2014 16:46,,
SWH31815,141:20:00,162,8:45,10,5/8/2014 16:46,,
SWH31816,358:35:00,672,22:13,41.6,5/8/2014 9:25,,
SWH31817,229:23:00,286,14:13,17.7,5/8/2014 23:59,,
SWH31818,486:21:00,492,30:08:00,30.5,5/8/2014 23:24,,
SWH31819,342:51:00,297,21:15,18.4,5/8/2014 11:22,,
SWH31820,433:39:00,361,26:52:00,22.4,5/8/2014 16:25,,
SWH31821,290:47:00,174,18:01,10.8,5/8/2014 16:26,,
SWH31822,311:20:00,243,19:17,15.1,5/8/2014 23:20,,
SWH31823,591:45:00,426,36:40:00,26.4,5/8/2014 14:25,,
SWH31824,261:11:00,255,16:11,15.8,5/8/2014 16:08,,
SWH31825,459:39:00,409,28:29:00,25.3,5/8/2014 13:11,,
VA178C01701,118:08:00,201,7:19,12.5,5/8/2014 13:41,,
VA178C01702,60:29:00,29,3:45,1.8,5/6/2014 12:27,,
VA178C01703,35:35:00,41,2:12,2.5,5/8/2014 18:00,,
VA178C01704,79:51:00,109,4:57,6.8,5/8/2014 18:12,,
VA178C01705,350:24:00,162,21:43,10,5/8/2014 15:50,,
VA178C01706,128:30:00,24,7:58,1.5,5/2/2014 9:52,,
VA178C01707,69:09:00,33,4:17,2,5/8/2014 10:14,,
VA178C01708,62:03:00,50,3:51,3.1,5/8/2014 11:05,,
VA178C01709,108:36:00,179,6:44,11.1,5/8/2014 10:25,,
VA178C01710,1314:45:00,223,81:28:00,13.8,5/8/2014 23:59,,
VA178C01711,49:03:00,40,3:02,2.5,5/8/2014 19:46,,
VA178C01712,349:57:00,57,21:41,3.5,5/8/2014 20:59,,
VA178C01713,96:01:00,81,5:57,5,5/8/2014 21:03,,
VA178C01714,292:41:00,147,18:08,9.1,5/8/2014 21:03,,
VA178C01715,402:03:00,386,24:55:00,23.9,5/8/2014 23:29,,
VA178C01716,213:56:00,136,13:15,8.4,5/8/2014 12:13,,
VA421601,333:28:00,19,20:40,1.2,4/16/2014 23:53,,
